voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
300,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,39,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,government,permanent,23,NA,health card and/or insurance other than PhilHealth,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),No.,NA,Maybe,Master's degree (non-MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Ilocano,NA,Academic,NA,Librarian,"Bibligraphic control
Cataloging
Managemnet",NA,NA
302,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,1,1,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,"Sss
Pag ibig",NA,NA,NA,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,N/A,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),No.,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),"Expensive
Low salary
Cant afford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,35,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,24,20,paid vacation and/or sick leaves,NA,NA,NA,NA,"PERA ALLOWANCE, CLOTHING ALLOWANCE",NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Registration fee of training is much more expensive,NA,NA,"Library services, library automation or digitization",NA,NA,NA,NA,Region III,No,Yes,NA,NA,Academic library,None,Assistant librarian,College librarian I,"Plai, Plai-Central luzon, Nueva ecija librarian association",For continuing professional development
304,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,41,"Yes, I am currently employed by an institution, agency, individual or similar.",library,20,government,permanent,31,10,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,Allowances,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Funding & limited slots,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Others,NA,Academic library,NA,College Librarian,Bibliographic control / collection management / reference,"PLAI, PAARL",NA
305,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,32,"Yes, I am currently employed by an institution, agency, individual or similar.",library,10,private (in-house),permanent,14,13,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,rice allowance,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,n/a,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),teacher,Master's degree (non-MLIS),Yes,Master's degree (non-MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,"the seminar fee is VERY high, the location for the seminar is far. the points given in each seminar is low",NA,NA,current trends in the library,NA,NA,NA,NA,Region V,No,Yes,Bicolano,none,academic library,teacher,IMC librarian,collection development,PLAI,it is recuired
306,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,43,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,8,1,NONE / Not Applicable,NA,NA,NA,NA,I am currently connected to a small school and that they can't afford to give other benefits other than required by law.,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,No (planning to shift to other fields or industry),NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",We hope for more trainings and seminars to be conducted within the region since we cannot afford to attend in such seminars in Luzon which offers big CPD points.,NA,NA,More seminars on new trends such as RDA in indexing.,NA,NA,NA,NA,Region XII,No,No,Ilonggo,cebuano,NA,Technical Assistant,Library Assistant,"Management, Cataloging",PLAI,Stressful
307,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,20,12,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,36,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,private (in-house),permanent,40,30,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,"clothing, free education for children",NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,NA,within the work place (in-house trainings),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,school library,NA,NA,NA,PASLI,NA
309,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,40,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,private (BPO),permanent,28,10,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",law materials and resources,hardcopy books / pamphlets / etc,NA,NA,NA,Archives,Filipiniana collection,Filipiniana collection,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),within the work place (in-house trainings),NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,Professionalism in the library profession,NA,NA,NA,NA,Region XII,No,Yes,Cebuano,Ilonggo,Graduate school,Teaching,Graduate School Librarian,"Librarian,  Graduate School/Filipiniana",PLAI,NA
310,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,49,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,government,permanent,26,12,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,museum pieces,NA,NA,NA,supervisory / mid-management level,Maybe / Undecided,Environmental Planning,Master's degree (MLIS),No.,NA,Yes,Juris Doctor / Bachelor of Laws,government facilitated trainings and symposiums,NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",I have multiple licenses but I am employed using only one license. I have only limited resources to acquire CPD for the other two licenses.,limited time becuase I am at work.,NA,NA,NA,NA,NA,NA,Region IV,No,Yes,NA,None,public library,"teacher, researcher",Librarian II,"management, collection development, records officer",PLAI,LOCATION
311,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,government,permanent,20,19,paid vacation and/or sick leaves,NA,NA,NA,NA,"Grocery, Uniform, Rice Allowances",NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Maybe,NA,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","Seminar Fees
Schedule",NA,NA,Trends in Librarianship,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Academic Library,NA,Librarian I - Entry Level,"Cataloging, Reference","PLAI, PAARL","Seminars and trainings being organized by the organization
Members and officers"
312,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,42,NA,library,10,private (BPO),contractual,15,NA,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,NA,NA,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",The registration fee is too expensive.,NA,NA,NA,NA,NA,NA,NA,Region II,No,Yes,Ilocano,"Arabic, Cantonese",Academic,I am Librarian and a Filipino Instrauctor,Chief Librarian,"Adminitration, Management, Cataloging, Bibliographic Control, Collection Development , Reference,, Records Officer, Manager",PLAI,"To gain more information, knowledge specially in attending seminars, meetings and conforences"
313,NA,"Yes, I am currently residing and staying in the Philippines",Woman,41,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,29,27,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,"Clothing allowance
Rice allowance","Rice Allowance
Clothing Allowance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,Post-graduate Certificate or Diploma (non-LIS),within the work place (in-house trainings),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Ilonggo,None,College Library,NA,College Librarian II,"Cataloging
Circulation
Acquisition","PLAI
PAARL
AASDI",Professional growth and training
314,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,42,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,private (in-house),permanent,23,9,paid vacation and/or sick leaves,NA,NA,NA,NA,None,NA,NA,NA,institutional files and records,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Yes,Post-graduate Certificate or Diploma (non-LIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Too expensive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,54,"Yes, I am currently employed by an institution, agency, individual or similar.",library,23,government,permanent,25,25,monetary allowances,monetary allowances,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,Basic salary and monthly allowance,Monthly allowance clothing and pera,"Basic salary plus PERA other benefits not mentioned above were clothing allowance, 13month pay, productivity",NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,Periodicals,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),Yes,Master's degree (MLIS),Maybe,Doctor of Philosophy (Ph.D),within the work place (in-house trainings),government facilitated trainings and symposiums,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,Earning CPD units by means of attending seminar cost so much,NA,NA,Above digital libraries,NA,NA,NA,NA,NCR,Yes,Yes,Waray,None,Secondary school library,Specialist,Senior librarians working with other,Administration and management,Dont renew yet my membership in PLAI,One aspect that i would like to member in PLAI org cause this is the association for all Phil. Librarians
316,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,39,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,NA,NA,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,within the work place (in-house trainings),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Region I,Yes,No,Ilocano,NA,academic library,NA,college librarian,"Administration / Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer / Manager",PLAI,NA
317,NA,"Yes, I am currently residing and staying in the Philippines",Woman,54,"Yes, I am currently employed by an institution, agency, individual or similar.",library,23,private (in-house),permanent,15,15,paid vacation and/or sick leaves,NA,NA,NA,NA,None.,NA,NA,NA,institutional files and records,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Maybe / Undecided,Family matters.,Master's degree (MLIS),No.,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Expensive.,NA,NA,Direct connection of library and its services to national issues.,NA,NA,NA,NA,Region IV,No,Yes,NA,NA,Academic,Discipline Officer,Librarian,All-around librarian (One-man librarian),"PLAI
PNULISAA",Relevance to profession
318,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",academic institution (non-librarian position),5,government,contractual,21,19,paid vacation and/or sick leaves,monetary allowances,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,No (planning to shift to other fields or industry),"Law, Education and Photography",Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),government facilitated trainings and symposiums,NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"No, the amount of trainings I received within the last two (2) years is not enough.",Tedious PRC documentary requirements.,NA,NA,Librarians' Netiquette,NA,NA,NA,NA,Region VIII,Yes,No,Waray,"Bisaya, Filipino",Academic,University Instructor,LIS Teacher (Faculty),Librarian-Designate,"PLAI, PATLS",NA
319,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,55,"Yes, I am currently employed by an institution, agency, individual or similar.",library,21,government,permanent,40,30,paid vacation and/or sick leaves,NA,NA,NA,NA,"honorarium, rice allowance, incentive bonus, 13th & 14th month pay & other bonuses",NA,NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Yes,Doctor of Philosophy (Ph.D),government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",within the work place (in-house trainings),NA,from the work place (private sponsorship),"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"Yes, the amount of trainings I received within the last two (2) years is enough.",the conference fee and transportation expenses is costly.,NA,NA,Policymaking in the LIS profession,NA,NA,NA,NA,NCR,Yes,Yes,Others,Bolinao,Academic library,NA,Head Librarian working with other librarians,"Administration, Manager","PLAI, PAARL, UPLSAA",Volunteer service
320,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),permanent,9,8,NONE / Not Applicable,NA,NA,NA,NA,None,None,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),Financial growth,Master's degree (MLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",Financial,NA,NA,Archiving,NA,NA,NA,NA,Region II,No,No,Ilocano,None,School,Teacher,Teacher librarian,Overall,PLAI,Professional training
321,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,20,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),job order (J.O.),12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,Region III,No,Yes,NA,NA,School library,NA,Sole librarian,Collection Development,PLAI,Chance of meeting people in the same industry
322,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,58,"Yes, I am currently employed by an institution, agency, individual or similar.",library,18,government,permanent,42,34,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,upper management level / top tier executive,Yes,NA,Master's degree (MLIS),No.,NA,No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),"from the government (scholarships, free trainings and seminars, etc)","Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,NA,NA,NA,"Administrator.management,cataloging,collection developmentg.reference,records officer,manager",PLAI,Integrity
323,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,21,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (in-house),contractual,1,NA,paid vacation and/or sick leaves,NA,NA,NA,NA,None,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,None,NA,NA,NA,entry level / junior staff,Maybe / Undecided,Undecided yet,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,The distance of some conferences/ seminars are too far  and most of the time  costly.,NA,NA,I don't have any in mind,NA,NA,NA,NA,Region II,No,Yes,Ilocano,None,Academic library,None,Mid-level librarian workng with other librarian,Technical librarian,PLAL,NA
324,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,54,"Yes, I am currently employed by an institution, agency, individual or similar.",library,17,government,permanent,38,26,monetary allowances,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",data sets,institutional files and records,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,NA,NA,"List of books, journals, magazines, CD/DVD. (organization)
Library documents for accreditation (AACCUP)
Library documents and records for ISO: 9001-2015
Acquisition of library resources.
Policies",NA,NA,NA,upper management level / top tier executive,Yes,NA,Master's degree (MLIS),No.,NA,Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,"The ""STANDARDS"" of libraries to be followed by accreditors.
(Iba-iba ang gusto ng mga accreditors sa library)",NA,NA,NA,NA,Region IV,No,Yes,NA,NA,Academic library,NA,Head Librarian working with other librarians of three (3) campuses.,Head Librarian,"PLAI, PLAI-STRLC, OMLA","For updates, professional growth, and to serve others in the profession of librarianship."
325,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",LGBTQ+,20,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,12,10,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,collection of the library,NA,NA,NA,entry level / junior staff,Maybe / Undecided,I want to work abrod,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,Others,chavacano,School Library,Print/ photocopy aid,Basic Education Librarian,"Management, Cataloging,Reference",PLAI,my mom influenced me to take up BLIS.
326,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,28,"Yes, I am currently employed by an institution, agency, individual or similar.",library,6,government,permanent,20,20,paid vacation and/or sick leaves,NA,NA,NA,NA,"Midyear and year-end bonus, clothing allowance, PBB, PEI",NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,I want to be a photographer,Master's degree (MLIS),No.,NA,No,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,Technology based resources,NA,NA,NA,NA,CAR,Yes,No,Ilocano,NA,School library,NA,Sole librarian,All,PLAI,NA
327,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,private (in-house),contractual,14,13,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,Free Lodging,NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,Social work or an entrepreneur,Bachelor's degree (non-BLIS),Yes,Master's degree (MLIS),Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region XII,No,No,Cebuano,NA,School Library and academic Library,NA,Librarian,One Man Librarian,PLAI,NA
328,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,34,"Yes, I am currently employed by an institution, agency, individual or similar.",library,14,government,permanent,29,25,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,NA,NA,NA,NA,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Master's degree (MLIS),within the work place (in-house trainings),government facilitated trainings and symposiums,NA,NA,"from the government (scholarships, free trainings and seminars, etc)",NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.","Budget constraints;
Seminar venues are far from home and office",NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,Academic,NA,Mid level librarian working with other librarian,Collection development,"Plai, pearl, clla",Relevance
329,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,36,"Yes, I am currently employed by an institution, agency, individual or similar.",library,15,government,permanent,20,19,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,personnel development opportunities,NA,NA,NA,law materials and resources,hardcopy theses and dissertations,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",nothing,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,none,NA,NA,NA,Technical Services,PLAI,NA
